trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.985, 'e': 0.5300559096881398}",20,0,-60.41389561673628,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.985, 'e': 0.5221050710428177}",30,0,-12.572862515227834,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.985, 'e': 0.5142734949771754}",25,6,6.462856181692943,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.985, 'e': 0.5065593925525178}",20,0,-25.94541891225486,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.985, 'e': 0.49896100166422996}",20,12,-7.910084496078573,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.985, 'e': 0.4914765866392665}",20,0,-18.94473992948444,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.985, 'e': 0.48410443783967755}",25,9,-6.966052135193803,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.985, 'e': 0.47684287127208236}",25,15,8.969269117192969,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.985, 'e': 0.4696902282030011}",20,0,-0.3744362441621023,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.985, 'e': 0.4626448747799561}",25,9,-28.46013571741608,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.985, 'e': 0.45570520165825673}",20,2,6.313449449433483,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.985, 'e': 0.4488696236333829}",25,12,-22.47009563681608,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.985, 'e': 0.4421365792788821}",20,5,-30.620490967767985,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.985, 'e': 0.4355045305896989}",20,9,2.135284315573152,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.985, 'e': 0.4289719626308534}",25,0,7.573756187279093,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.985, 'e': 0.4225373831913906}",30,4,-70.4287138414506,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
58,False,"{'a': 0.985, 'e': 0.41619932244351976}",20,6,-22.62109922821624,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.985, 'e': 0.4099563326068669}",20,4,3.5094621698798685,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.985, 'e': 0.40380698761776396}",30,0,-100.26622224226041,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.985, 'e': 0.39774988280349743}",25,11,24.33621087423447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.985, 'e': 0.391783634561445}",20,15,7.512704064891644,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.985, 'e': 0.3859068800430233}",25,1,-6.438689329829934,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
